id,corridor_id,source_code,source_name,source_region,source_income,source_lending,source_G8G20,destination_code,destination_name,destination_region,destination_income,destination_lending,destination_G8G20,payment instrument,access point,speed actual,receiving network coverage,pickup method,date,cc1 lcu amount,cc1 denomination amount,cc1 lcu code,cc1 lcu fee,cc1 lcu fx rate,cc1 fx margin,cc1 total cost %,cc2 lcu amount,cc2 denomination amount,cc2 lcu code,cc2 lcu fee,cc2 lcu fx rate,cc2 fx margin,cc2 total cost %,inter lcu bank fx,transparent,Standard Note,note2,regulatory_risk_score,fx_volatility,aml_risk_index,correspondent_network_depth,transfer_time_estimate_days,composite_cost_score,political_stability_index,regulatory_quality_score,rule_of_law_index,government_effectiveness,financial_system_development,banking_sector_stability,payment_system_efficiency,aml_effectiveness_score,tax_transparency_score,reporting_requirements_index,currency_convertibility_score,capital_mobility_index,treaty_network_density,financial_sanctions_risk,dispute_resolution_mechanism,bilateral_tax_treaty_strength,double_taxation_avoidance,information_exchange_agreement,jurisdictional_hops_count,regulatory_domain_changes,currency_conversions_count,withholding_tax_rate,financial_transaction_tax,compliance_documentation_cost,settlement_risk_index
1,ARG-DEU,ARG,Argentina,Latin America & Caribbean,Upper middle income,Medium,G8G20,DEU,Germany,Europe,High income,High,G8G20,Bank Transfer,Agent Network,1-2 days,Medium,Agent,2021-03-07,2690,45.83,USD,25.78,51.0866,0.0088,0.0184,2571,37.07,PHP,25.87,51.2942,0.0085,0.0186,0.0063,Transparent,Requires documentation for large amounts,,0.264,0.042,0.0,1,1,0.0713,0.6096056983613479,0.583408283859458,0.6277226245720832,0.7627635827689632,0.6219015950331997,0.6019035651660983,0.829505537860887,0.6420921674983491,0.4936630736878058,0.6151072052303158,0.6143898768625046,0.5641124295715693,0.5790354725879241,0.5795936293589357,0.3930098600984362,0.4825254964910833,1,1,3,0,2,0.039,0.0186,123.0,0.509605698361348
2,ZAF-NGA,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,Medium,G8G20,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,Low,No,Mobile Wallet,Bank Branch,2-5 days,High,Branch,2022-07-24,3867,78.69,PHP,33.7,31.4576,0.0063,0.015,3850,61.19,ZAR,43.39,50.559,0.0035,0.0148,0.0109,Transparent,Prefer local bank transfer where possible,,0.523,0.052,0.571,1,0,0.2337,0.2284602655598691,0.4377096799114328,0.2410371109374546,0.210523555839765,0.6258778522705865,0.4029068439416157,0.4481033845625508,0.1790302176543851,0.284674073056978,0.3633107107651839,0.3318807707093236,0.4650837622014806,0.2779233572097433,0.5850032499751933,0.3277952065324723,0.5722733821410725,0,1,2,2,1,0.212,0.0054,60.2,0.6334082838594579
3,ESP-AUS,ESP,Spain,Europe,High income,High,G8G20,AUS,Australia,Oceania,High income,High,G8G20,Bank Transfer,Mobile App,1-2 days,High,Agent,2022-12-06,1117,109.49,USD,17.38,42.3424,0.0141,0.0297,1096,26.19,USD,6.7,46.697,0.0133,0.0194,0.0162,Transparent,High AML checks required,,0.199,0.023,0.539,5,1,0.1722,0.7483803330314479,0.6730746885252921,0.8487053894523827,0.6334987620034773,0.8750636314005706,0.5948395851344269,0.6806176741321883,0.7736233483042948,0.8386159895994493,0.7705641937427965,0.8561222061134112,0.7838675565292854,0.5725773611559087,0.2363813050073651,0.7447233474848256,0.8768546671462699,0,1,2,2,2,0.182,0.008,83.08,0.3277226245720831
4,IRL-RUS,IRL,Ireland,Europe,High income,High,No,RUS,Russia,Europe & Central Asia,Upper middle income,Medium,G8G20,Mobile Wallet,Online Portal,Same day,Medium,Home Delivery,2021-04-04,1176,51.5,AUD,7.77,68.2856,0.0107,0.0173,1126,14.26,NGN,9.34,0.9666,0.0157,0.024,0.0141,Transparent,Standard corridor - no special restrictions,,0.483,0.097,0.536,4,0,0.2245,0.7912341947482153,0.588435181356472,0.7888900763273754,0.733790126350042,0.768769359963285,0.903401154660904,0.963719942699514,0.8617536142939438,0.6492938972132833,0.7128945148978543,0.9097516117684276,0.9370654152546832,0.6924990914585653,0.172279077199658,0.6672398031192767,0.6064552051103195,1,0,4,1,3,0.21,0.0174,134.31,0.43276358276896304
5,GBR-POL,GBR,United Kingdom,Europe,High income,High,G8G20,POL,Poland,Europe,High income,Medium,No,Bank Transfer,Bank Branch,1-2 days,High,Agent,2024-10-04,924,13.37,NGN,8.38,53.1687,0.0076,0.0167,907,34.42,EUR,9.3,62.1517,0.017,0.0273,0.0121,Transparent,Correspondent path uses two intermediaries,,0.194,0.068,0.575,5,2,0.1758,0.8475030986873038,0.9627488034284988,0.7413587854103599,0.9004239477470429,0.893396323005716,0.752585629447385,0.8833674726610097,0.9345643879759162,0.7457008753068058,0.9377572386976808,0.5556305875092307,0.9186283005250268,0.7604456481885805,0.1858808820559041,0.8110112931842604,0.5114917302478929,1,1,3,2,1,0.075,0.0072,137.5,0.22190159503319967
6,SAU-ARG,SAU,Saudi Arabia,Middle East & North Africa,High income,High,G8G20,ARG,Argentina,Latin America & Caribbean,Upper middle income,Medium,G8G20,Bank Transfer,Mobile App,1-2 days,Medium,Home Delivery,2022-04-15,3417,55.3,PHP,68.74,36.6272,0.0054,0.0255,3255,358.58,GBP,36.94,27.0631,0.0102,0.0215,0.0163,Opaque,Standard corridor - no special restrictions,,0.353,0.054,0.431,1,3,0.1803,0.5236393734594986,0.6428535085814097,0.727347285368982,0.5178075738071624,0.5529807676528176,0.5697891547698556,0.7498482541242489,0.5894501331591622,0.4864287755479554,0.6115920919736028,0.6816493059217649,0.7362373988639468,0.4657536287347177,0.3893194575917321,0.5529470216241412,0.3743782062241458,1,0,3,1,3,0.079,0.012,36.29,0.42190356516609834
7,CAN-KEN,CAN,Canada,North America,High income,High,G8G20,KEN,Kenya,Sub-Saharan Africa,Low income,Low,No,Bank Transfer,Correspondent Bank,3-7 days,Medium,Branch,2021-10-20,947,12.73,KES,8.04,68.7862,0.0146,0.0231,976,63.66,ZAR,12.02,75.9212,0.0202,0.0325,0.0112,Opaque,Requires documentation for large amounts,,0.304,0.09,0.654,5,2,0.2194,0.7855344332477491,0.8313266326615868,0.7506136147970953,0.7518495439949824,0.6801555109539503,0.7795225612681569,0.7988742580167876,0.6537267276934058,0.7306457146000789,0.7984861028177446,1.0,0.8409493375398207,0.7809060468867317,0.1589335098919401,0.5697474541641151,0.746818334946094,0,1,1,1,2,0.168,0.0024,11.32,0.439505537860887
8,NGA-IRL,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,Low,No,IRL,Ireland,Europe,High income,High,No,Mobile Wallet,Agent Network,Instant,High,Agent,2023-11-10,1347,20.55,AUD,2.74,19.2681,0.0117,0.0137,1296,47.4,ZAR,13.42,44.3378,0.0144,0.0248,0.0034,Transparent,Correspondent path uses two intermediaries,,0.561,0.069,0.099,8,1,0.1513,0.3572276251929231,0.6955890534982343,0.3269166842262653,0.4161856810800335,0.4458345876353707,0.2897586354856561,0.5771387377418025,0.4402319639224128,0.4449238336451656,0.2408735054246313,0.6383353173123318,0.2517778724649263,0.4204228512560324,0.2871453249028026,0.2811356409843173,0.2820442724476673,1,1,4,1,3,0.008,0.0011,49.28,0.742092167498349
9,CHE-USA,CHE,Switzerland,Europe,High income,High,No,USA,United States,North America,High income,High,G8G20,Card Transfer,Mobile App,Instant,High,Mobile Wallet,2024-05-05,1897,413.06,ZAR,32.99,24.0456,0.009,0.0264,1830,46.43,AUD,22.34,83.7875,0.0166,0.0288,0.002,Transparent,Requires documentation for large amounts,,0.234,0.093,0.256,8,3,0.1256,0.761958163810517,0.7395829215060561,0.563920388272064,0.7882275569767233,0.7225235543528674,0.8868310916762218,0.7296690918919436,0.9359921286021048,0.6560096049196515,0.7113526180553189,0.9676220660843604,0.6722962820279255,0.7772951921524955,0.0,0.6071020118526528,0.7721560630238765,1,0,1,2,3,0.182,0.0082,105.89,0.19366307368780575
10,KEN-VNM,KEN,Kenya,Sub-Saharan Africa,Low income,Low,No,VNM,Vietnam,East Asia & Pacific,Lower middle income,Medium,No,Card Transfer,Bank Branch,Instant,Medium,ATM,2021-08-17,5471,107.56,PHP,40.26,71.0831,0.0104,0.0178,5373,350.53,CNY,61.24,57.7542,0.009,0.0204,0.0101,Opaque,High AML checks required,,0.545,0.089,0.48,5,1,0.2241,0.3811859353098108,0.4938187446132772,0.2015659146946301,0.2215452064298868,0.5126329878740277,0.4656381607879823,0.4700591420415051,0.391573785139637,0.2683970334105811,0.3778704436593204,0.5051686967958418,0.3342778298368358,0.5738929413373708,0.4931400494905855,0.2570435803356821,0.4287864330360595,0,1,4,1,3,0.209,0.0116,142.91,0.7151072052303158
